GiftId,Latitude,Longitude,Weight
4267,-87.5651092228,46.3865083163,50.0
51323,70.6782827114,107.173511114,14.5130477367
75263,31.7129457729,120.821524269,50.0
74175,32.4800546076,59.567414479,30.1237998689
1125,46.99434637,42.3096096702,8.06736922391
82024,36.5913157114,96.1252125727,7.63620197809
84005,22.3679590553,104.829013245,31.761297751
53219,13.8333287173,99.6563208705,1.0
73938,28.3526185496,104.157413709,1.0
10647,-69.6888433158,32.3282759166,1.36005577512
72250,-1.59428516648,101.599639311,6.74843028151
78366,48.8479096781,93.3717543344,14.7336271963
44909,42.1675168072,-89.4558584799,1.0
15776,-23.1450163617,-64.0799316971,1.0
82633,48.5130336603,23.8257428329,16.8123844046
24362,-24.7518800387,-50.8452473617,27.2268515775
96790,27.6055267473,26.3666344368,40.4688615228
1877,29.569295001,68.3847472768,5.36999577954
93634,48.9742333346,7.8729744732,5.34615907374
18119,32.8209360522,88.8645892681,1.0
64368,-6.34094443405,16.0910730022,9.03670225057
28584,-76.9056846932,-93.1762664482,11.2571395047
77160,-26.358101488,-54.6013553658,36.0062670145
15701,65.0992136193,53.6020732945,39.2140123813
850,45.7753775082,-102.00298183,1.0
60816,58.2311924274,95.2461952966,19.7854773263
26300,-87.6132227378,-162.256602505,26.273678558
71233,25.105322767,22.912376041,1.0
17258,10.113199564,-3.67066653485,2.82876294159
56574,63.937858849,129.547703268,35.8309798905
78095,37.9007294253,72.6291746111,1.0
46245,75.3724028668,-112.078019762,1.0
50645,2.96970573952,-55.0855525646,22.8217183027
36202,-81.0850070415,143.258494981,1.0
9089,3.09909112643,-73.2435390522,1.0
25195,69.6893819838,109.485183885,4.47809901874
9967,25.2270901253,-80.3317918774,1.0
22783,34.56814603,71.0098264045,1.0
81561,7.39367934495,45.2232774516,1.0
36140,21.4454157237,85.6339211375,50.0
85089,48.6545193854,87.0503249423,1.46875629782
90511,55.9900140468,-125.417645885,3.33990377535
32694,-80.1031379188,-117.82361292,1.0
93366,-74.3017868618,95.3496197476,28.3518105429
18184,-71.0888631955,14.5255324216,13.7553093766
17970,80.5060564099,-45.940700202,35.5554018542
24455,-8.25428970901,-34.9429755195,42.0265903914
83396,-3.14630630045,-69.3225289575,18.876116273
17272,0.599985025856,19.9254707747,1.0
3358,-83.4539544581,62.6206588098,1.0
75825,21.5270585896,-6.4646727797,5.58123359047
13840,-4.93833044206,-75.4980880922,1.0
