GiftId,Latitude,Longitude,Weight
95853,-22.4333782033,-45.0863893476,1.0
591,46.8417555346,-100.465092304,14.6071952872
98749,38.2230122365,79.9777058849,1.0
87274,20.7546283697,42.9096480863,1.0
24541,47.4481002763,93.8176731842,1.0
40782,-36.1239506927,-67.969766998,36.5268988893
98291,70.2740558238,154.701712507,13.6121886063
560,70.2871552411,97.401464726,44.0626636059
79708,-83.9199899032,151.193736427,1.0
50442,36.7852140481,71.2538931448,4.78080196454
69160,11.3481473445,1.36951690962,42.991021613
43759,9.06214283894,98.7856477491,20.8930539092
24641,24.3592089827,16.3408631099,24.5389525951
25787,27.248684631,95.6864324972,3.55788860972
4912,32.9883503812,64.539898814,27.356735579
568,-6.14436430285,-46.7523113471,1.0
31049,63.4088138796,108.230154881,1.0
92720,36.0073731794,114.388649245,35.1575371843
63894,64.5929821133,111.006459211,36.3891541138
96848,-28.3636795013,136.587047185,35.7129103887
97645,-0.652296218501,-65.9873072545,1.0
65448,-20.1917109965,30.6147679061,7.71151292355
92851,-88.727241296,164.458044797,1.0
96492,51.7788315367,-94.7074212531,1.0
81825,66.7070271912,62.0921094818,27.8044360185
35248,63.4020948889,64.0853633797,30.9103091183
77361,48.3600811723,36.4741610205,1.0
86424,31.7158560304,-97.0276709099,8.1046659082
49777,61.4506285011,-125.8752705,1.0
29877,-83.6273747223,174.592686029,17.0341320725
22691,21.1651364627,-100.625359955,50.0
37914,3.51636484798,32.1665458122,14.207924874
79215,28.059125328,43.010140793,45.5723229772
44339,38.3435499905,101.233367471,1.0
87149,44.7209254938,-114.933530505,25.9085766238
43784,22.5489382862,-104.284086867,1.0
98552,-0.0733800621986,29.2356013314,27.3139405391
87456,66.5705455708,-90.8325417062,25.4252196053
82170,-13.2681228873,-48.2432074557,36.3770986455
71877,47.7898212018,93.5741337069,14.6614231897
77063,-74.1599179119,98.4620139345,1.0
34554,25.4541605524,91.5517915563,1.0
91629,67.0797814347,-133.289561015,1.0
41364,55.4889358964,119.892952127,43.9250783277
67877,66.2956209199,-118.352234951,1.0
81699,53.6296956151,-114.967326274,12.532567713
46526,5.56886180428,39.288638074,10.7149407658
454,-7.40430945204,34.873262453,21.262011437
76230,42.1891056121,97.9101531767,17.4390591505
21411,24.8222121957,12.9662910099,21.9469188237
82027,-73.9050162076,28.7695952334,8.88589557151
